"paper","number_of_dc_methods","year"
"http://orkg.org/orkg/resource/R211485",5,2014
"http://orkg.org/orkg/resource/R113160",1,2018
"http://orkg.org/orkg/resource/R113204",1,2018
"http://orkg.org/orkg/resource/R576776",1,2006
"http://orkg.org/orkg/resource/R576793",1,2006
"http://orkg.org/orkg/resource/R578027",1,2006
"http://orkg.org/orkg/resource/R583912",1,2004
"http://orkg.org/orkg/resource/R584065",1,2003
"http://orkg.org/orkg/resource/R220605",1,2013
"http://orkg.org/orkg/resource/R220618",1,2013
"http://orkg.org/orkg/resource/R220810",1,2013
"http://orkg.org/orkg/resource/R220898",1,2012
"http://orkg.org/orkg/resource/R221163",1,2012
"http://orkg.org/orkg/resource/R279116",2,2010
"http://orkg.org/orkg/resource/R280481",2,2010
"http://orkg.org/orkg/resource/R283080",2,2009
"http://orkg.org/orkg/resource/R598274",1,2000
"http://orkg.org/orkg/resource/R598586",1,2000
"http://orkg.org/orkg/resource/R598606",1,2000
"http://orkg.org/orkg/resource/R605077",1,1998
"http://orkg.org/orkg/resource/R607051",1,1999
"http://orkg.org/orkg/resource/R675312",2,1996
"http://orkg.org/orkg/resource/R675399",1,1996
"http://orkg.org/orkg/resource/R684186",1,1995
"http://orkg.org/orkg/resource/R159690",2,2011
"http://orkg.org/orkg/resource/R192428",1,2021
"http://orkg.org/orkg/resource/R193418",1,2020
"http://orkg.org/orkg/resource/R193490",2,2020
"http://orkg.org/orkg/resource/R194253",1,2019
"http://orkg.org/orkg/resource/R195728",2,2017
"http://orkg.org/orkg/resource/R195749",2,2017
"http://orkg.org/orkg/resource/R195857",2,2017
"http://orkg.org/orkg/resource/R197609",5,2017
"http://orkg.org/orkg/resource/R198808",1,2016
"http://orkg.org/orkg/resource/R200119",3,2015
"http://orkg.org/orkg/resource/R211198",2,2014
"http://orkg.org/orkg/resource/R211283",1,2014
"http://orkg.org/orkg/resource/R211327",1,2014
"http://orkg.org/orkg/resource/R211438",3,2014
"http://orkg.org/orkg/resource/R220378",1,2013
"http://orkg.org/orkg/resource/R558201",3,2006
"http://orkg.org/orkg/resource/R578020",1,2006
"http://orkg.org/orkg/resource/R580068",1,2005
"http://orkg.org/orkg/resource/R583074",1,2005
"http://orkg.org/orkg/resource/R583119",1,2005
"http://orkg.org/orkg/resource/R583135",1,2005
"http://orkg.org/orkg/resource/R583188",1,2004
