"paper","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R280498","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280738","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R280765","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R281194","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R576765","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R192345","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R193418","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194458","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R194954","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195182","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195201","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195679","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R196033","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R74547","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R199123","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R199136","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R200061","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195713","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195857","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R195986","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R196021","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R198944","analysis","descriptive","inferential",,
"http://orkg.org/orkg/resource/R198994","analysis","descriptive",,,"a priori coding"
"http://orkg.org/orkg/resource/R194974","analysis","descriptive",,,"software product line analysis"
"http://orkg.org/orkg/resource/R195144","analysis","descriptive",,,"synthesis"
"http://orkg.org/orkg/resource/R199014","analysis","descriptive",,,"synthesis"
"http://orkg.org/orkg/resource/R211145","analysis","descriptive",,,"Countermeasure goals"
"http://orkg.org/orkg/resource/R211494","analysis","descriptive",,,"Framework for goal models with qualities"
"http://orkg.org/orkg/resource/R211361","analysis","descriptive",,,"Crowdsourcing"
"http://orkg.org/orkg/resource/R287845","analysis","descriptive",,,"grounded theory"
"http://orkg.org/orkg/resource/R211096","analysis","descriptive",,,"grounded theory"
