"paper","year","da_label","test"
"http://orkg.org/orkg/resource/R225580","2012","analysis",
"http://orkg.org/orkg/resource/R225589","2012","analysis",
"http://orkg.org/orkg/resource/R227482","2022","analysis",
"http://orkg.org/orkg/resource/R227501","2022","analysis",
"http://orkg.org/orkg/resource/R227533","2022","analysis",
"http://orkg.org/orkg/resource/R227551","2022","analysis",
"http://orkg.org/orkg/resource/R228229","2022","analysis",
"http://orkg.org/orkg/resource/R228262","2022","analysis",
"http://orkg.org/orkg/resource/R229316","2022","analysis",
"http://orkg.org/orkg/resource/R229340","2022","analysis",
"http://orkg.org/orkg/resource/R229375","2022","analysis",
"http://orkg.org/orkg/resource/R256580","2011","analysis",
"http://orkg.org/orkg/resource/R265028","2011","analysis",
"http://orkg.org/orkg/resource/R159690","2011","analysis",
"http://orkg.org/orkg/resource/R76792","2017","analysis",
"http://orkg.org/orkg/resource/R78392","2015","analysis",
"http://orkg.org/orkg/resource/R78432","2016","analysis",
"http://orkg.org/orkg/resource/R249021","2011","analysis",
"http://orkg.org/orkg/resource/R254495","2011","analysis",
"http://orkg.org/orkg/resource/R254508","2011","analysis",
"http://orkg.org/orkg/resource/R254521","2011","analysis",
"http://orkg.org/orkg/resource/R264011","2011","analysis",
"http://orkg.org/orkg/resource/R265006","2011","analysis",
"http://orkg.org/orkg/resource/R265019","2011","analysis",
"http://orkg.org/orkg/resource/R276009","2011","analysis",
"http://orkg.org/orkg/resource/R276015","2011","analysis",
"http://orkg.org/orkg/resource/R276024","2011","analysis",
"http://orkg.org/orkg/resource/R276045","2011","analysis",
"http://orkg.org/orkg/resource/R276051","2011","analysis",
"http://orkg.org/orkg/resource/R279079","2010","analysis",
"http://orkg.org/orkg/resource/R279109","2010","analysis",
"http://orkg.org/orkg/resource/R279116","2010","analysis",
"http://orkg.org/orkg/resource/R279126","2010","analysis",
"http://orkg.org/orkg/resource/R279141","2010","analysis",
"http://orkg.org/orkg/resource/R279151","2010","analysis",
"http://orkg.org/orkg/resource/R280308","2010","analysis",
"http://orkg.org/orkg/resource/R280329","2010","analysis",
"http://orkg.org/orkg/resource/R280335","2010","analysis",
"http://orkg.org/orkg/resource/R280347","2010","analysis",
"http://orkg.org/orkg/resource/R280375","2010","analysis",
"http://orkg.org/orkg/resource/R280412","2010","analysis",
"http://orkg.org/orkg/resource/R280481","2010","analysis",
"http://orkg.org/orkg/resource/R280486","2010","analysis",
"http://orkg.org/orkg/resource/R280511","2010","analysis",
"http://orkg.org/orkg/resource/R280747","2009","analysis",
"http://orkg.org/orkg/resource/R280758","2009","analysis",
"http://orkg.org/orkg/resource/R280798","2009","analysis",
"http://orkg.org/orkg/resource/R280811","2009","analysis",
"http://orkg.org/orkg/resource/R280818","2009","analysis",
"http://orkg.org/orkg/resource/R281166","2009","analysis",
"http://orkg.org/orkg/resource/R281172","2009","analysis",
"http://orkg.org/orkg/resource/R281188","2009","analysis",
"http://orkg.org/orkg/resource/R281210","2009","analysis",
"http://orkg.org/orkg/resource/R283069","2009","analysis",
"http://orkg.org/orkg/resource/R283077","2009","analysis",
"http://orkg.org/orkg/resource/R283095","2009","analysis",
"http://orkg.org/orkg/resource/R283098","2008","analysis",
"http://orkg.org/orkg/resource/R283106","2008","analysis",
"http://orkg.org/orkg/resource/R285771","2008","analysis",
"http://orkg.org/orkg/resource/R285781","2008","analysis",
"http://orkg.org/orkg/resource/R285790","2008","analysis",
"http://orkg.org/orkg/resource/R285816","2008","analysis",
