"paper","da_label","test"
"http://orkg.org/orkg/resource/R220314","analysis",
"http://orkg.org/orkg/resource/R220323","analysis",
"http://orkg.org/orkg/resource/R220538","analysis",
"http://orkg.org/orkg/resource/R220583","analysis",
"http://orkg.org/orkg/resource/R220633","analysis",
"http://orkg.org/orkg/resource/R220881","analysis",
"http://orkg.org/orkg/resource/R221821","analysis",
"http://orkg.org/orkg/resource/R222375","analysis",
"http://orkg.org/orkg/resource/R249030","analysis",
"http://orkg.org/orkg/resource/R276031","analysis",
"http://orkg.org/orkg/resource/R279086","analysis",
"http://orkg.org/orkg/resource/R280498","analysis",
"http://orkg.org/orkg/resource/R280738","analysis",
"http://orkg.org/orkg/resource/R280765","analysis",
"http://orkg.org/orkg/resource/R281194","analysis",
"http://orkg.org/orkg/resource/R192386","analysis",
"http://orkg.org/orkg/resource/R192398","analysis",
"http://orkg.org/orkg/resource/R192428","analysis",
"http://orkg.org/orkg/resource/R192445","analysis",
"http://orkg.org/orkg/resource/R193022","analysis",
"http://orkg.org/orkg/resource/R193025","analysis",
"http://orkg.org/orkg/resource/R193035","analysis",
"http://orkg.org/orkg/resource/R193070","analysis",
"http://orkg.org/orkg/resource/R193089","analysis",
"http://orkg.org/orkg/resource/R193108","analysis",
"http://orkg.org/orkg/resource/R193330","analysis",
"http://orkg.org/orkg/resource/R193336","analysis",
"http://orkg.org/orkg/resource/R193341","analysis",
"http://orkg.org/orkg/resource/R193357","analysis",
"http://orkg.org/orkg/resource/R193371","analysis",
"http://orkg.org/orkg/resource/R193385","analysis",
"http://orkg.org/orkg/resource/R193406","analysis",
"http://orkg.org/orkg/resource/R193467","analysis",
"http://orkg.org/orkg/resource/R193481","analysis",
"http://orkg.org/orkg/resource/R193798","analysis",
"http://orkg.org/orkg/resource/R193818","analysis",
"http://orkg.org/orkg/resource/R193828","analysis",
"http://orkg.org/orkg/resource/R193849","analysis",
"http://orkg.org/orkg/resource/R193866","analysis",
"http://orkg.org/orkg/resource/R193898","analysis",
"http://orkg.org/orkg/resource/R193925","analysis",
"http://orkg.org/orkg/resource/R194054","analysis",
"http://orkg.org/orkg/resource/R194084","analysis",
"http://orkg.org/orkg/resource/R194093","analysis",
"http://orkg.org/orkg/resource/R194114","analysis",
"http://orkg.org/orkg/resource/R194125","analysis",
"http://orkg.org/orkg/resource/R194139","analysis",
"http://orkg.org/orkg/resource/R194237","analysis",
"http://orkg.org/orkg/resource/R194253","analysis",
"http://orkg.org/orkg/resource/R194317","analysis",
"http://orkg.org/orkg/resource/R194345","analysis",
"http://orkg.org/orkg/resource/R194360","analysis",
"http://orkg.org/orkg/resource/R194414","analysis",
"http://orkg.org/orkg/resource/R194428","analysis",
"http://orkg.org/orkg/resource/R194445","analysis",
"http://orkg.org/orkg/resource/R194474","analysis",
"http://orkg.org/orkg/resource/R194607","analysis",
"http://orkg.org/orkg/resource/R194610","analysis",
"http://orkg.org/orkg/resource/R194641","analysis",
"http://orkg.org/orkg/resource/R194686","analysis",
"http://orkg.org/orkg/resource/R194698","analysis",
"http://orkg.org/orkg/resource/R194884","analysis",
"http://orkg.org/orkg/resource/R194895","analysis",
"http://orkg.org/orkg/resource/R194922","analysis",
"http://orkg.org/orkg/resource/R194932","analysis",
"http://orkg.org/orkg/resource/R194974","analysis",
"http://orkg.org/orkg/resource/R195005","analysis",
"http://orkg.org/orkg/resource/R195023","analysis",
"http://orkg.org/orkg/resource/R195113","analysis",
"http://orkg.org/orkg/resource/R195129","analysis",
"http://orkg.org/orkg/resource/R195144","analysis",
"http://orkg.org/orkg/resource/R195153","analysis",
"http://orkg.org/orkg/resource/R195179","analysis",
"http://orkg.org/orkg/resource/R195218","analysis",
"http://orkg.org/orkg/resource/R195224","analysis",
"http://orkg.org/orkg/resource/R76792","analysis",
"http://orkg.org/orkg/resource/R108199","analysis",
"http://orkg.org/orkg/resource/R195495","analysis",
"http://orkg.org/orkg/resource/R113008","analysis",
"http://orkg.org/orkg/resource/R195519","analysis",
"http://orkg.org/orkg/resource/R113067","analysis",
"http://orkg.org/orkg/resource/R195551","analysis",
"http://orkg.org/orkg/resource/R112434","analysis",
"http://orkg.org/orkg/resource/R195578","analysis",
"http://orkg.org/orkg/resource/R195587","analysis",
"http://orkg.org/orkg/resource/R195597","analysis",
"http://orkg.org/orkg/resource/R195728","analysis",
"http://orkg.org/orkg/resource/R195749","analysis",
"http://orkg.org/orkg/resource/R195767","analysis",
"http://orkg.org/orkg/resource/R195866","analysis",
"http://orkg.org/orkg/resource/R195982","analysis",
"http://orkg.org/orkg/resource/R195998","analysis",
"http://orkg.org/orkg/resource/R196009","analysis",
"http://orkg.org/orkg/resource/R196014","analysis",
"http://orkg.org/orkg/resource/R196065","analysis",
"http://orkg.org/orkg/resource/R196070","analysis",
"http://orkg.org/orkg/resource/R197609","analysis",
"http://orkg.org/orkg/resource/R198663","analysis",
"http://orkg.org/orkg/resource/R198673","analysis",
