"paper","year","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R192428",2021,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R192445",2021,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R193925",2020,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194317",2019,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194345",2019,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194414",2019,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194428",2019,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194445",2019,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R194884",2019,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R287836",2008,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R195692",2017,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R78432",2016,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211177",2014,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211283",2014,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R220831",2012,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R198979",2016,"analysis","descriptive","inferential",,"eye tracking method"
"http://orkg.org/orkg/resource/R113008",2017,"analysis","descriptive","inferential",,"Crowdsourcing"
"http://orkg.org/orkg/resource/R288742",2007,"analysis","descriptive","inferential",,"social network analysis"
"http://orkg.org/orkg/resource/R287851",2008,"analysis","descriptive","inferential",,"single factor analysis"
"http://orkg.org/orkg/resource/R583903",2004,"analysis","descriptive","inferential",,"HUCRE"
"http://orkg.org/orkg/resource/R586519",2003,"analysis","descriptive","inferential",,"CREWS-SAVRE"
"http://orkg.org/orkg/resource/R586519",2003,"analysis","descriptive","inferential",,"Unified Modeling Language (UML) class hierarchies"
"http://orkg.org/orkg/resource/R198681",2016,"analysis","descriptive","inferential",,"grounded theory"
"http://orkg.org/orkg/resource/R196046",2017,"analysis","descriptive","inferential",,"grounded theory"
"http://orkg.org/orkg/resource/R194401",2019,"analysis","descriptive","inferential",,"grounded theory"
"http://orkg.org/orkg/resource/R598284",2000,"analysis","descriptive","inferential",,"comparative analysis"
"http://orkg.org/orkg/resource/R200049",2015,"analysis","descriptive","inferential",,"open coding"
"http://orkg.org/orkg/resource/R194431",2019,"analysis","descriptive","inferential",,"open coding"
