"paper","year","dc_label","experiment","case_study","secondary_research","survey","action_research","interview","study"
"http://orkg.org/orkg/resource/R228229","2022","study",,,,,,,"validation study"
"http://orkg.org/orkg/resource/R193341","2021","study",,,,,,,"preliminary study"
"http://orkg.org/orkg/resource/R195849","2017","study",,,,,,,"pilot study"
"http://orkg.org/orkg/resource/R193473","2020","study",,,,,,,"pilot study"
"http://orkg.org/orkg/resource/R193490","2020","study",,,,,,,"crowdsourcing study"
"http://orkg.org/orkg/resource/R211380","2014","study",,,,,,,"study"
"http://orkg.org/orkg/resource/R195153","2018","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R211106","2014","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R211411","2014","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R220798","2013","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R254508","2011","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R265028","2011","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R276015","2011","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R227482","2022","study",,,,,,,"observation"
"http://orkg.org/orkg/resource/R211106","2014","study",,,,,,,"diary study"
"http://orkg.org/orkg/resource/R193089","2021","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R193108","2021","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R194114","2020","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R195153","2018","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R194474","2019","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R194686","2018","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R194698","2018","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R194125","2020","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R194954","2018","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R195144","2018","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R195224","2018","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R195519","2017","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R195551","2017","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R195578","2017","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R193406","2020","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R195806","2017","interview",,,,,,"contextual interview",
"http://orkg.org/orkg/resource/R196070","2017","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R197609","2017","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R198689","2016","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R198724","2016","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R198797","2016","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R198856","2016","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R198877","2016","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R198994","2016","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R199149","2015","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R199023","2015","interview",,,,,,"elicitation interview",
"http://orkg.org/orkg/resource/R193070","2021","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R211096","2014","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R211106","2014","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R211121","2014","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R211121","2014","interview",,,,,,"semi-strucutred phone interview",
"http://orkg.org/orkg/resource/R211370","2014","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R211394","2014","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R211411","2014","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R211485","2014","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R220390","2013","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R220643","2013","interview",,,,,,"in-depth interview",
"http://orkg.org/orkg/resource/R220798","2013","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R220858","2012","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R227482","2022","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R229340","2022","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R256580","2011","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R193385","2020","interview",,,,,,"interview",
"http://orkg.org/orkg/resource/R254495","2011","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R254508","2011","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R279116","2010","interview",,,,,,"structured interview",
"http://orkg.org/orkg/resource/R279141","2010","interview",,,,,,"semi-structured interview",
"http://orkg.org/orkg/resource/R279151","2010","interview",,,,,,"interview",
