"paper","year","contribution","dc_label","experiment","survey","interview","study","secondary_research","action_research","da_label"
"http://orkg.org/orkg/resource/R279126","2010","http://orkg.org/orkg/resource/R279128","case study",,,,,,,
"http://orkg.org/orkg/resource/R279136","2010","http://orkg.org/orkg/resource/R279138","workshop",,,,,,,
"http://orkg.org/orkg/resource/R279158","2010","http://orkg.org/orkg/resource/R279160","literature review",,,,,,,
"http://orkg.org/orkg/resource/R279133","2010","http://orkg.org/orkg/resource/R279135","literature review",,,,,,,
"http://orkg.org/orkg/resource/R280375","2010","http://orkg.org/orkg/resource/R280376","case study",,,,,,,
"http://orkg.org/orkg/resource/R280412","2010","http://orkg.org/orkg/resource/R280413","case study",,,,,,,
"http://orkg.org/orkg/resource/R280481","2010","http://orkg.org/orkg/resource/R280482","case study",,,,,,,
"http://orkg.org/orkg/resource/R280521","2010","http://orkg.org/orkg/resource/R280522","case study",,,,,,,
"http://orkg.org/orkg/resource/R280529","2010","http://orkg.org/orkg/resource/R280530","case study",,,,,,,
"http://orkg.org/orkg/resource/R280747","2009","http://orkg.org/orkg/resource/R280749","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R280793","2009","http://orkg.org/orkg/resource/R280795","case study",,,,,,,
"http://orkg.org/orkg/resource/R280798","2009","http://orkg.org/orkg/resource/R280800","case study",,,,,,,
"http://orkg.org/orkg/resource/R280811","2009","http://orkg.org/orkg/resource/R280813","case study",,,,,,,
"http://orkg.org/orkg/resource/R280818","2009","http://orkg.org/orkg/resource/R280820","case study",,,,,,,
"http://orkg.org/orkg/resource/R281162","2009","http://orkg.org/orkg/resource/R281163","case study",,,,,,,
"http://orkg.org/orkg/resource/R281166","2009","http://orkg.org/orkg/resource/R281167","case study",,,,,,,
"http://orkg.org/orkg/resource/R281188","2009","http://orkg.org/orkg/resource/R281189","industrial study",,,,,,,
"http://orkg.org/orkg/resource/R192386","2021","http://orkg.org/orkg/resource/R192388","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R192398","2021","http://orkg.org/orkg/resource/R192400","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R193035","2021","http://orkg.org/orkg/resource/R193037","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R193330","2021","http://orkg.org/orkg/resource/R193331","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R193341","2021","http://orkg.org/orkg/resource/R193342","preliminary study",,,,,,,
"http://orkg.org/orkg/resource/R193357","2021","http://orkg.org/orkg/resource/R193358","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R193371","2020","http://orkg.org/orkg/resource/R193373","case study",,,,,,,
"http://orkg.org/orkg/resource/R193441","2020","http://orkg.org/orkg/resource/R193443","case study",,,,,,,
"http://orkg.org/orkg/resource/R193473","2020","http://orkg.org/orkg/resource/R193475","pilot study",,,,,,,
"http://orkg.org/orkg/resource/R193481","2020","http://orkg.org/orkg/resource/R193483","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R193490","2020","http://orkg.org/orkg/resource/R193492","crowdsourcing study",,,,,,,
"http://orkg.org/orkg/resource/R193022","2021","http://orkg.org/orkg/resource/R193024","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R193818","2021","http://orkg.org/orkg/resource/R193819","case study",,,,,,,
"http://orkg.org/orkg/resource/R193828","2021","http://orkg.org/orkg/resource/R193829","secondary research",,,,,,,
"http://orkg.org/orkg/resource/R193849","2021","http://orkg.org/orkg/resource/R193850","case study",,,,,,,
"http://orkg.org/orkg/resource/R193866","2021","http://orkg.org/orkg/resource/R193868","secondary research",,,,,,,
"http://orkg.org/orkg/resource/R193467","2020","http://orkg.org/orkg/resource/R193469","literature review",,,,,,,
"http://orkg.org/orkg/resource/R193929","2020","http://orkg.org/orkg/resource/R193931","use case",,,,,,,
